Unicode,Image,X,Y,Block ID,Char ID,Width,Height
U+3068,100249371_00002_2,271,542,B0001,C0129,29,89
U+308A,100249371_00002_2,260,631,B0001,C0130,50,124
U+3066,100249371_00002_2,263,762,B0001,C0131,28,92
U+3084,100249371_00002_2,235,879,B0001,C0132,94,86
U+304B,100249371_00002_2,271,971,B0001,C0133,29,61
U+3066,100249371_00002_2,265,1032,B0001,C0134,30,117
U+7802,100249371_00002_2,224,1176,B0001,C0135,119,112
U+7CD6,100249371_00002_2,231,1269,B0001,C0136,118,141
U+3092,100249371_00002_2,257,1427,B0001,C0137,72,73
U+3082,100249371_00002_2,282,1510,B0001,C0138,35,98
U+3066,100249371_00002_2,265,1613,B0001,C0139,56,111
U+88FD,100249371_00002_2,252,1724,B0001,C0140,93,149
U+3059,100249371_00002_2,263,1882,B0001,C0141,69,98
U+308C,100249371_00002_2,270,1953,B0001,C0142,61,125
U+306F,100249371_00002_2,262,2078,B0001,C0143,71,51
U+5484,100249371_00002_2,244,2158,B0001,C0144,119,91
U+55DF,100249371_00002_2,253,2288,B0001,C0145,108,126
U+306E,100249371_00002_2,267,2456,B0001,C0146,75,92
U+9593,100249371_00002_2,279,2548,B0001,C0147,56,116
U+5929,100249371_00003_1,1579,370,B0001,C0001,111,123
U+4E0A,100249371_00003_1,1608,479,B0001,C0002,56,92
U+306E,100249371_00003_1,1606,605,B0001,C0003,69,64
U+918D,100249371_00003_1,1576,684,B0001,C0004,107,120
U+9190,100249371_00003_1,1571,833,B0001,C0005,125,91
U+5473,100249371_00003_1,1576,926,B0001,C0006,108,118
U+3082,100249371_00003_1,1621,1044,B0001,C0007,45,112
U+6307,100249371_00003_1,1571,1180,B0001,C0008,119,111
U+982D,100249371_00003_1,1579,1291,B0001,C0009,112,123
U+306E,100249371_00003_1,1617,1426,B0001,C0010,56,75
U+9593,100249371_00003_1,1618,1502,B0001,C0011,49,121
U+306B,100249371_00003_1,1600,1623,B0001,C0012,94,66
U+8ABF,100249371_00003_1,1582,1701,B0001,C0013,118,117
U+3059,100249371_00003_1,1613,1825,B0001,C0014,59,92
U+3078,100249371_00003_1,1584,1917,B0001,C0015,109,57
U+304D,100249371_00003_1,1627,1968,B0001,C0016,38,104
U+306A,100249371_00003_1,1607,2081,B0001,C0017,76,94
U+308A,100249371_00003_1,1629,2175,B0001,C0018,43,78
U+3055,100249371_00003_1,1628,2253,B0001,C0019,36,79
U+308C,100249371_00003_1,1591,2332,B0001,C0020,124,93
U+306F,100249371_00003_1,1617,2443,B0001,C0021,72,38
U+96EA,100249371_00003_1,1607,2496,B0001,C0022,79,166
U+6708,100249371_00003_1,1404,370,B0001,C0023,76,114
U+306E,100249371_00003_1,1412,518,B0001,C0024,75,80
U+7A93,100249371_00003_1,1402,599,B0001,C0025,92,164
U+6625,100249371_00003_1,1407,780,B0001,C0026,56,154
U+82B1,100249371_00003_1,1390,934,B0001,C0027,107,153
U+306E,100249371_00003_1,1411,1090,B0001,C0028,69,69
U+4E0B,100249371_00003_1,1414,1161,B0001,C0029,71,99
U+306B,100249371_00003_1,1427,1267,B0001,C0030,24,61
U+3066,100249371_00003_1,1410,1328,B0001,C0031,57,62
U+6545,100249371_00003_1,1389,1420,B0001,C0032,113,90
U+65E7,100249371_00003_1,1402,1511,B0001,C0033,94,150
U+76F8,100249371_00003_1,1407,1670,B0001,C0034,80,143
U+5BFE,100249371_00003_1,1401,1813,B0001,C0035,102,129
U+3057,100249371_00003_1,1446,1927,B0001,C0036,15,117
U+7159,100249371_00003_1,1400,2037,B0001,C0037,111,110
U+3092,100249371_00003_1,1419,2163,B0001,C0038,73,73
U+5438,100249371_00003_1,1408,2254,B0001,C0039,102,103
U+3072,100249371_00003_1,1424,2357,B0001,C0040,86,100
U+7092,100249371_00003_1,1404,2543,B0001,C0041,122,108
U+8C46,100249371_00003_1,1223,367,B0001,C0042,71,131
U+3092,100249371_00003_1,1220,530,B0001,C0043,84,74
U+304B,100249371_00003_1,1254,638,B0001,C0044,29,90
U+307F,100249371_00003_1,1200,734,B0001,C0045,110,106
U+3066,100249371_00003_1,1243,843,B0001,C0046,29,99
U+6642,100249371_00003_1,1201,965,B0001,C0047,103,104
U+4E8B,100249371_00003_1,1227,1069,B0001,C0048,72,206
U+3092,100249371_00003_1,1216,1251,B0001,C0049,79,75
U+8AC7,100249371_00003_1,1211,1356,B0001,C0050,110,124
U+3059,100249371_00003_1,1242,1473,B0001,C0051,47,96
U+308B,100249371_00003_1,1244,1569,B0001,C0052,43,69
U+3068,100249371_00003_1,1250,1650,B0001,C0053,39,76
U+304D,100249371_00003_1,1243,1726,B0001,C0054,52,104
U+306B,100249371_00003_1,1222,1830,B0001,C0055,78,80
U+3042,100249371_00003_1,1225,1941,B0001,C0056,87,98
U+305F,100249371_00003_1,1255,2039,B0001,C0057,36,61
U+308A,100249371_00003_1,1252,2100,B0001,C0058,39,68
U+3066,100249371_00003_1,1255,2169,B0001,C0059,24,94
U+9152,100249371_00003_1,1219,2273,B0001,C0060,98,127
U+8317,100249371_00003_1,1221,2400,B0001,C0061,89,152
U+3068,100249371_00003_1,1253,2574,B0001,C0062,30,104
U+4E09,100249371_00003_1,1043,382,B0001,C0063,60,92
U+5206,100249371_00003_1,1049,493,B0001,C0064,69,117
U+9F0E,100249371_00003_1,1027,633,B0001,C0065,90,132
U+5CD9,100249371_00003_1,1017,771,B0001,C0066,101,131
U+3059,100249371_00003_1,1046,904,B0001,C0067,52,95
U+308C,100249371_00003_1,1039,985,B0001,C0068,67,121
U+306F,100249371_00003_1,1050,1106,B0001,C0069,54,107
U+5247,100249371_00003_1,1024,1233,B0001,C0070,101,128
U+3053,100249371_00003_1,1041,1344,B0001,C0071,73,104
U+308C,100249371_00003_1,1045,1438,B0001,C0072,68,124
U+6607,100249371_00003_1,1030,1627,B0001,C0073,102,178
U+5E73,100249371_00003_1,1035,1808,B0001,C0074,99,128
U+306E,100249371_00003_1,1048,1955,B0001,C0075,72,67
U+4E00,100249371_00003_1,1050,2052,B0001,C0076,84,20
U+5927,100249371_00003_1,1053,2112,B0001,C0077,77,113
U+697D,100249371_00003_1,1041,2225,B0001,C0078,90,137
U+4E8B,100249371_00003_1,1051,2372,B0001,C0079,79,231
U+306B,100249371_00003_1,1074,2618,B0001,C0080,25,62
U+3042,100249371_00003_1,849,361,B0001,C0081,72,105
U+3089,100249371_00003_1,868,475,B0001,C0082,29,97
U+3059,100249371_00003_1,850,572,B0001,C0083,58,111
U+3084,100249371_00003_1,836,682,B0001,C0084,88,97
U+3068,100249371_00003_1,869,798,B0001,C0085,27,80
U+4E91,100249371_00003_1,870,895,B0001,C0086,46,72
U+305F,100249371_00003_1,666,1212,B0001,C0087,92,102
U+306B,100249371_00003_1,670,1314,B0001,C0088,80,81
U+306F,100249371_00003_1,686,1409,B0001,C0089,56,86
U+306E,100249371_00003_1,678,1514,B0001,C0090,63,78
U+56FD,100249371_00003_1,665,1592,B0001,C0091,87,108
U+4E80,100249371_00003_1,665,1700,B0001,C0092,89,159
U+306E,100249371_00003_1,675,1878,B0001,C0093,80,81
U+5C71,100249371_00003_1,675,1959,B0001,C0094,100,75
U+304B,100249371_00003_1,697,2037,B0001,C0095,29,85
U+3051,100249371_00003_1,690,2122,B0001,C0096,68,81
U+306B,100249371_00003_1,680,2204,B0001,C0097,78,59
U+4F4F,100249371_00003_1,670,2295,B0001,C0098,89,97
U+308B,100249371_00003_1,694,2392,B0001,C0099,48,54
U+5609,100249371_00003_1,487,380,B0001,C0100,103,140
U+6C38,100249371_00003_1,481,520,B0001,C0101,110,146
U+4E94,100249371_00003_1,497,697,B0001,C0102,93,86
U+5E74,100249371_00003_1,507,793,B0001,C0103,76,204
U+6625,100249371_00003_1,504,1006,B0001,C0104,75,147
U+56FD,100249371_00003_1,469,1617,B0001,C0105,120,155
U+83EF,100249371_00003_1,483,1795,B0001,C0106,96,211
U+9673,100249371_00003_1,474,1990,B0001,C0107,116,169
U+4EBA,100249371_00003_1,447,2170,B0001,C0108,153,131
U+984C,100249371_00003_1,477,2316,B0001,C0109,118,124
U+9F0E,100249371_00004_2,1599,353,B0001,C0001,112,160
U+5DE6,100249371_00004_2,1578,551,B0001,C0002,131,131
U+79D8,100249371_00004_2,1573,738,B0001,C0003,159,106
U+9332,100249371_00004_2,1587,907,B0001,C0004,141,121
U+76EE,100249371_00004_2,1438,743,B0001,C0005,71,102
U+9332,100249371_00004_2,1430,986,B0001,C0006,140,120
U+9752,100249371_00004_2,1234,464,B0001,C0007,103,159
U+7269,100249371_00004_2,1226,623,B0001,C0008,118,102
U+7802,100249371_00004_2,1227,736,B0001,C0009,119,104
U+7CD6,100249371_00004_2,1225,851,B0001,C0010,120,137
U+6F2C,100249371_00004_2,1235,997,B0001,C0011,112,144
U+306E,100249371_00004_2,1258,1170,B0001,C0012,60,69
U+6CD5,100249371_00004_2,1242,1239,B0001,C0013,99,111
U+521D,100249371_00004_2,1263,1594,B0001,C0014,76,81
U+4E01,100249371_00004_2,1258,1691,B0001,C0015,69,76
U+751F,100249371_00004_2,1075,624,B0001,C0016,72,105
U+59DC,100249371_00004_2,1065,894,B0001,C0017,99,126
U+4E8C,100249371_00004_2,1073,1281,B0001,C0018,68,59
U+4E01,100249371_00004_2,1067,1368,B0001,C0019,77,80
U+5929,100249371_00004_2,1063,1680,B0001,C0020,109,111
U+9580,100249371_00004_2,1068,1823,B0001,C0021,101,126
U+51AC,100249371_00004_2,1079,1938,B0001,C0022,85,144
U+4E8C,100249371_00004_2,1068,2258,B0001,C0023,82,65
U+4E01,100249371_00004_2,1065,2351,B0001,C0024,81,78
U+677E,100249371_00004_2,895,631,B0001,C0025,111,109
U+306E,100249371_00004_2,917,788,B0001,C0026,64,70
U+7DD1,100249371_00004_2,895,896,B0001,C0027,113,124
U+540C,100249371_00004_2,918,1298,B0001,C0028,63,63
U+4ECF,100249371_00004_2,895,1694,B0001,C0029,104,152
U+624B,100249371_00004_2,925,1830,B0001,C0030,54,112
U+67D1,100249371_00004_2,892,1958,B0001,C0031,99,110
U+4E09,100249371_00004_2,896,2266,B0001,C0032,70,69
U+4E01,100249371_00004_2,887,2359,B0001,C0033,76,67
U+91D1,100249371_00004_2,730,630,B0001,C0034,86,148
U+67D1,100249371_00004_2,710,890,B0001,C0035,114,117
U+4E09,100249371_00004_2,730,1289,B0001,C0036,71,58
U+4E01,100249371_00004_2,727,1371,B0001,C0037,71,69
U+8304,100249371_00004_2,735,1689,B0001,C0038,96,122
U+5B50,100249371_00004_2,750,1964,B0001,C0039,71,96
U+56DB,100249371_00004_2,734,2275,B0001,C0040,75,34
U+4E01,100249371_00004_2,723,2354,B0001,C0041,74,79
U+F999,100249371_00004_2,539,620,B0001,C0042,103,146
U+6839,100249371_00004_2,547,887,B0001,C0043,115,120
U+56DB,100249371_00004_2,546,1298,B0001,C0044,81,39
U+4E01,100249371_00004_2,547,1375,B0001,C0045,66,80
U+7B4D,100249371_00004_2,550,1687,B0001,C0046,86,165
U+540C,100249371_00004_2,558,2275,B0001,C0047,62,51
U+9EC4,100249371_00004_2,380,625,B0001,C0048,90,159
U+74DC,100249371_00004_2,374,876,B0001,C0049,103,119
U+540C,100249371_00004_2,375,1303,B0001,C0050,60,60
U+671D,100249371_00004_2,360,1694,B0001,C0051,107,118
U+74DC,100249371_00004_2,378,1942,B0001,C0052,95,113
U+540C,100249371_00004_2,383,2268,B0001,C0053,59,50
U+51AC,100249371_00004_2,198,619,B0001,C0054,104,151
U+74DC,100249371_00004_2,202,878,B0001,C0055,108,118
U+540C,100249371_00004_2,220,1305,B0001,C0056,52,55
U+897F,100249371_00004_2,192,1705,B0001,C0057,98,82
U+74DC,100249371_00004_2,194,1942,B0001,C0058,96,113
U+540C,100249371_00004_2,197,2265,B0001,C0059,66,47
U+725B,100249371_00005_1,1616,601,B0001,C0001,74,165
U+623F,100249371_00005_1,1601,867,B0001,C0002,107,140
U+4E94,100249371_00005_1,1595,1305,B0001,C0003,90,66
U+4E01,100249371_00005_1,1602,1393,B0001,C0004,83,74
U+4EBA,100249371_00005_1,1591,1708,B0001,C0005,107,89
U+53C2,100249371_00005_1,1600,1911,B0001,C0006,98,163
U+540C,100249371_00005_1,1618,2275,B0001,C0007,61,64
U+767E,100249371_00005_1,1417,638,B0001,C0008,99,108
U+5408,100249371_00005_1,1419,753,B0001,C0009,114,115
U+6839,100249371_00005_1,1405,892,B0001,C0010,141,118
U+540C,100249371_00005_1,1438,1316,B0001,C0011,59,57
U+7A7A,100249371_00005_1,1434,1691,B0001,C0012,71,153
U+8C46,100249371_00005_1,1440,1951,B0001,C0013,70,111
U+540C,100249371_00005_1,1438,2276,B0001,C0014,60,58
U+9EA6,100249371_00005_1,1256,620,B0001,C0015,71,142
U+9580,100249371_00005_1,1239,777,B0001,C0016,102,121
U+51AC,100249371_00005_1,1257,892,B0001,C0017,79,115
U+540C,100249371_00005_1,1269,1318,B0001,C0018,48,53
U+72EC,100249371_00005_1,1234,1700,B0001,C0019,104,119
U+6D3B,100249371_00005_1,1243,1962,B0001,C0020,105,112
U+540C,100249371_00005_1,1263,2276,B0001,C0021,55,57
U+8317,100249371_00005_1,1056,623,B0001,C0022,102,144
U+8377,100249371_00005_1,1067,772,B0001,C0023,99,121
U+30CE,100249371_00005_1,1137,894,B0001,C0024,28,33
U+5B50,100249371_00005_1,1083,908,B0001,C0025,69,95
U+540C,100249371_00005_1,1092,1317,B0001,C0026,60,55
U+8C46,100249371_00005_1,1078,1703,B0001,C0027,78,120
U+8150,100249371_00005_1,1067,1921,B0001,C0028,92,160
U+540C,100249371_00005_1,1091,2277,B0001,C0029,55,61
U+690E,100249371_00005_1,877,628,B0001,C0030,116,144
U+8338,100249371_00005_1,893,830,B0001,C0031,97,208
U+540C,100249371_00005_1,908,1319,B0001,C0032,56,61
U+9644,100249371_00005_1,531,418,B0001,C0033,111,134
U+9332,100249371_00005_1,531,599,B0001,C0034,114,141
U+76EE,100249371_00005_1,547,776,B0001,C0035,73,129
U+6B21,100249371_00005_1,533,951,B0001,C0036,94,104
U+7149,100249371_00005_1,340,604,B0001,C0037,116,163
U+7F8A,100249371_00005_1,379,779,B0001,C0038,60,126
U+7FB9,100249371_00005_1,345,907,B0001,C0039,116,161
U+306E,100249371_00005_1,378,1097,B0001,C0040,59,47
U+65B9,100249371_00005_1,378,1144,B0001,C0041,57,137
U+516D,100249371_00005_1,369,1314,B0001,C0042,78,60
U+4E01,100249371_00005_1,370,1397,B0001,C0043,71,80
U+6727,100249371_00005_1,351,1689,B0001,C0044,132,136
U+7F8A,100249371_00005_1,381,1842,B0001,C0045,65,143
U+7FB9,100249371_00005_1,365,1976,B0001,C0046,97,153
U+306E,100249371_00005_1,386,2153,B0001,C0047,59,53
U+65B9,100249371_00005_1,383,2206,B0001,C0048,62,123
U+540C,100249371_00005_1,380,2386,B0001,C0049,62,59
U+9921,100249371_00005_1,170,637,B0001,C0050,122,156
U+306E,100249371_00005_1,207,862,B0001,C0051,61,67
U+65B9,100249371_00005_1,210,958,B0001,C0052,59,137
U+4E03,100249371_00005_1,207,1324,B0001,C0053,62,44
U+4E01,100249371_00005_1,194,1392,B0001,C0054,77,76
U+540C,100249371_00005_1,196,1702,B0001,C0055,88,109
U+65B9,100249371_00005_1,216,1883,B0001,C0056,60,116
U+540C,100249371_00005_1,214,2111,B0001,C0057,70,81
U+30AB,100249371_00005_2,1611,578,B0001,C0001,74,80
U+30B9,100249371_00005_2,1602,681,B0001,C0002,93,62
U+30C6,100249371_00005_2,1617,762,B0001,C0003,74,83
U+30A4,100249371_00005_2,1614,861,B0001,C0004,59,88
U+30E9,100249371_00005_2,1619,966,B0001,C0005,64,93
U+516B,100249371_00005_2,1607,1240,B0001,C0006,86,51
U+4E01,100249371_00005_2,1610,1329,B0001,C0007,74,86
U+4E2D,100249371_00005_2,1601,1736,B0001,C0008,89,128
U+83EF,100249371_00005_2,1595,1864,B0001,C0009,96,148
U+9945,100249371_00005_2,1592,2007,B0001,C0010,107,112
U+982D,100249371_00005_2,1594,2124,B0001,C0011,108,105
U+4E5D,100249371_00005_2,1614,2337,B0001,C0012,70,54
U+4E01,100249371_00005_2,1611,2440,B0001,C0013,72,65
U+85AF,100249371_00005_2,1419,569,B0001,C0014,109,173
U+9810,100249371_00005_2,1422,742,B0001,C0015,104,114
U+9945,100249371_00005_2,1415,856,B0001,C0016,114,129
U+982D,100249371_00005_2,1422,985,B0001,C0017,112,125
U+4E5D,100249371_00005_2,1439,1232,B0001,C0018,84,64
U+4E01,100249371_00005_2,1440,1333,B0001,C0019,80,87
U+845B,100249371_00005_2,1442,1748,B0001,C0020,71,151
U+9945,100249371_00005_2,1417,1938,B0001,C0021,113,133
U+982D,100249371_00005_2,1423,2109,B0001,C0022,107,106
U+5341,100249371_00005_2,1443,2334,B0001,C0023,67,73
U+4E01,100249371_00005_2,1441,2428,B0001,C0024,69,69
U+6D32,100249371_00005_2,1238,588,B0001,C0025,107,161
U+6D5C,100249371_00005_2,1241,745,B0001,C0026,104,122
U+7CD5,100249371_00005_2,1240,940,B0001,C0027,107,113
U+5341,100249371_00005_2,1269,1238,B0001,C0028,78,83
U+4E01,100249371_00005_2,1268,1332,B0001,C0029,85,80
U+7C73,100249371_00005_2,1321,1768,B0001,C0030,65,103
U+306E,100249371_00005_2,1325,1888,B0001,C0031,44,43
U+7C89,100249371_00005_2,1320,1933,B0001,C0032,65,73
U+306E,100249371_00005_2,1322,2026,B0001,C0033,53,60
U+6CD5,100249371_00005_2,1315,2103,B0001,C0034,60,83
U+714E,100249371_00005_2,1243,1752,B0001,C0035,69,105
U+3057,100249371_00005_2,1272,1863,B0001,C0036,11,79
U+7802,100249371_00005_2,1240,1959,B0001,C0037,72,76
U+7CD6,100249371_00005_2,1231,2071,B0001,C0038,73,126
U+5341,100249371_00005_2,1275,2328,B0001,C0039,56,52
U+56DB,100249371_00005_2,1266,2376,B0001,C0040,78,37
U+4E01,100249371_00005_2,1279,2428,B0001,C0041,61,82
U+6C42,100249371_00005_2,1060,582,B0001,C0042,120,123
U+80A5,100249371_00005_2,1060,759,B0001,C0043,115,102
U+7CD5,100249371_00005_2,1063,932,B0001,C0044,111,135
U+540C,100249371_00005_2,1092,1250,B0001,C0045,66,68
U+76CA,100249371_00005_2,1065,1754,B0001,C0046,96,125
